RecordId,Time,Provider,Level,EventId,Message
72,6/23/2025 1:08:43 AM,Microsoft-Windows-Search,4,1013,Windows Search Service stopped normally. 
73,6/23/2025 1:08:44 AM,Microsoft-Windows-Search,4,1003,The Windows Search Service started. 
74,6/23/2025 1:08:44 AM,Microsoft-Windows-Winlogon,4,6000,The winlogon notification subscriber <WSearch> was unavailable to handle a notification event.
75,6/23/2025 1:08:44 AM,Microsoft-Windows-Winlogon,4,6000,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.
76,6/23/2025 1:08:45 AM,Microsoft-Windows-Search,4,1013,Windows Search Service stopped normally. 
77,6/23/2025 1:08:45 AM,Microsoft-Windows-User Profiles Service,4,1532,The User Profile Service has stopped.   
78,6/23/2025 1:09:18 AM,Microsoft-Windows-EventSystem,4,4625,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
79,6/23/2025 1:09:18 AM,Microsoft-Windows-User Profiles Service,4,1531,The User Profile Service has started successfully.   
80,6/23/2025 1:09:18 AM,Microsoft-Windows-WMI,4,5615,Windows Management Instrumentation Service started sucessfully
81,6/23/2025 1:09:18 AM,Microsoft-Windows-WMI,4,5617,Windows Management Instrumentation Service subsystems initialized successfully
82,6/23/2025 1:09:19 AM,Microsoft-Windows-Winlogon,4,6003,The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.
83,6/23/2025 1:09:19 AM,Microsoft-Windows-Winlogon,4,6000,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.
84,6/23/2025 1:09:21 AM,Microsoft-Windows-Search,3,1008,The Windows Search Service is starting up and attempting to remove the old search index {Reason: Full Index Reset}.  
85,6/23/2025 1:09:21 AM,Microsoft-Windows-Search,4,1010,The Windows Search Service has successfully removed the old search index.  
86,6/23/2025 1:09:21 AM,Microsoft-Windows-Search,4,1004,The Windows Search service is creating the new search index {Reason: Full Index Reset}.  
87,6/23/2025 1:09:21 AM,ESENT,4,102,"SearchIndexer (4028,P,98) Windows: The database engine (10.00.18362.0000) is starting a new instance (0)."
